HitchHikers Guide to the Galaxy, Douglas Adams, On Shelf
Man’s Search for Meaning, Victor Frankl, On Shelf
In search of Schrodinger's Cat, John Grippin, On Shelf
Dante’s Inferno, Dante Alighiera, On Shelf
Great Expectations, Charles Dickens, On Shelf
Animal Farm, George Orwell, On Shelf
Time Machine, H. G. Wells, On Shelf
Crime and Punishment, Dostieveski, On Shelf
Hunger Games, Suzanne Collins, On Shelf
Harry Potter and the Sorcerer's Stone, J.K. Rowling, On Shelf
Ready Player One, Ernest Cline, On Shelf
Little Women, Luisa May Alcott, On Shelf
The Martian, Andy Weir, On Shelf
Canticle for Leibovitz, Herman Miller, On Shelf
The Old Man and the Sea, Ernest Hemingway, On Shelf
The Grapes of Wrath, John Steinbeck, On Shelf
1984, George Orwell, On Shelf
Lord of the Rings, J.R.R. Tolkien, On Shelf
The Lord of the Flies, William Golding, On Shelf
The Outsiders, S.E. Hinton, On Shelf
